metric,2026-01-31,2025-01-31,2024-01-31,2023-01-31,2022-01-31,2021-01-31,2020-01-31,2019-01-31,2018-01-31
Revenue,215938.0,130497.0,60922.0,26974.0,26914.0,16675.0,10918.0,11716.0,9714.0
Cost Of Goods Sold,62475.0,32639.0,16621.0,11618.0,9439.0,6279.0,4150.0,4545.0,3892.0
Gross Profit,153463.0,97858.0,44301.0,15356.0,17475.0,10396.0,6768.0,7171.0,5822.0
Research And Development Expenses,18497.0,12914.0,8675.0,7339.0,5268.0,3924.0,2829.0,2376.0,1797.0
SG&A Expenses,4579.0,3491.0,2654.0,2440.0,2166.0,1940.0,1093.0,991.0,815.0
Other Operating Income Or Expenses,,,,,,,,,
Operating Expenses,23076.0,16405.0,11329.0,11132.0,7434.0,5864.0,3922.0,3367.0,2612.0
Operating Income,130387.0,81453.0,32972.0,4224.0,10041.0,4532.0,2846.0,3804.0,3210.0
Total Non-Operating Income/Expense,11063.0,2573.0,846.0,-43.0,-100.0,-123.0,124.0,92.0,-14.0
Pre-Tax Income,141450.0,84026.0,33818.0,4181.0,9941.0,4409.0,2970.0,3896.0,3196.0
Income Taxes,21383.0,11146.0,4058.0,-187.0,189.0,77.0,174.0,-245.0,149.0
Income After Taxes,120067.0,72880.0,29760.0,4368.0,9752.0,4332.0,2796.0,4141.0,3047.0
Other Income,,,,,,,,,
Income From Continuous Operations,120067.0,72880.0,29760.0,4368.0,9752.0,4332.0,2796.0,4141.0,3047.0
Income From Discontinued Operations,,,,,,,,,
Net Income,120067.0,72880.0,29760.0,4368.0,9752.0,4332.0,2796.0,4141.0,3047.0
EBITDA,133230.0,83317.0,34480.0,5768.0,11215.0,5630.0,3227.0,4066.0,3409.0
EBIT,130387.0,81453.0,32972.0,4224.0,10041.0,4532.0,2846.0,3804.0,3210.0
Basic Shares Outstanding,24359.0,24555.0,24690.0,24870.0,24960.0,24670.0,24390.0,24320.0,23960.0
Shares Outstanding,24514.0,24804.0,24940.0,25070.0,25350.0,25100.0,24720.0,25000.0,25280.0
Basic EPS,4.93,2.97,1.21,0.18,0.39,0.18,0.12,0.17,0.13
EPS - Earnings Per Share,4.9,2.94,1.19,0.17,0.39,0.17,0.11,0.17,0.12
